				R openBLAS					R MKL					MKL vs openBLAS		
				Runtime			Speedup		Runtime			Speedup		Mean & stdev	1.3	0.7
p	n	m	missing	cor	naive	matrix	naive	matrix	cor	naive	matrix	naive	matrix			
250	5000	250	0.5	2.850	0.695	0.319	4.1	8.9	2.793	0.677	0.165	4.1	16.9		1.9	
250	5250	250	0	2.930	0.720	0.274	4.1	10.7	2.902	0.710	0.187	4.1	15.5		1.5	
250	5250	250	0.1	2.943	0.728	0.319	4.0	9.2	2.935	0.710	0.187	4.1	15.7		1.7	
250	5250	250	0.2	3.137	0.723	0.296	4.3	10.6	2.923	0.710	0.180	4.1	16.2		1.6	
250	5250	250	0.3	2.915	0.715	0.301	4.1	9.7	2.928	0.711	0.269	4.1	10.9		1.1	
250	5250	250	0.4	2.969	0.716	0.347	4.1	8.6	2.918	0.708	0.251	4.1	11.6		1.4	
250	5250	250	0.5	2.923	0.734	0.333	4.0	8.8	2.933	0.711	0.173	4.1	17.0		1.9	
250	5500	250	0	3.071	0.754	0.328	4.1	9.4	3.051	0.742	0.245	4.1	12.5		1.3	
250	5500	250	0.1	3.066	0.749	0.330	4.1	9.3	3.048	0.739	0.301	4.1	10.1		1.1	
250	5500	250	0.2	3.072	0.750	0.315	4.1	9.8	3.043	0.740	0.293	4.1	10.4		1.1	
250	5500	250	0.3	3.148	0.758	0.302	4.2	10.4	3.045	0.739	0.319	4.1	9.5		0.9	
